VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE OBS_SID OBS_LAT OBS_LON    FCST        OBS  OBS_QC FCST_CAT OBS_CAT P1    P2    T1  T2     SEEPS
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71809   49.21  -57.38     1.375       3.8     NA        1       1 0.562 0.854 0.2  5.667 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71817   52.29  -55.83     4.875       0.2     NA        2       0 0.605 0.868 0.2  3     1.403
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71825   52.93  -66.86     1.25        0.8     NA        1       1 0.608 0.869 0.2  4.767 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71869   53.21 -105.66     0           0       NA        0       0 0.797 0.932 0.2  2     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71891   50.23 -121.58     0           1       NA        0       1 0.612 0.871 0.2  1     1.287
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71896   53.9  -122.79     0           0       NA        0       0 0.659 0.886 0.2  3.367 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71906   58.1   -68.42     0.375      -0.1     NA        1       0 0.675 0.892 0.2  2.4   0.74
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71069   55.28 -114.78     0           0       NA        0       0 0.768 0.923 0.2  3     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71108   49.03 -122.36     0           0       NA        0       0 0.487 0.829 0.2  8.2   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71140   49.91  -99.95     0           0.2     NA        0       0 0.802 0.934 0.2  3.533 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71261   43.76  -81.71     0           0       NA        0       0 0.544 0.848 0.2  4     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71384   47.06  -70.79     3           0       NA        1       0 0.6   0.867 0.2  6     0.833
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71398   51.28  -80.6      0.75        0       NA        1       0 0.598 0.866 0.2  6.2   0.835
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71425   49.24  -65.33     4.5         0       NA        2       0 0.584 0.861 0.2  4     1.437
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71430   43.83  -77.14     0.25        0       NA        1       0 0.676 0.892 0.2  6     0.74
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71447   49.28 -100.98     0           0       NA        0       0 0.684 0.895 0.2  2     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71515   50.55 -103.65     0           0       NA        0       0 0.59  0.863 0.2  2     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_115300 20120410_115300 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   72241   29.95  -94.02     0           0.5     NA        0       1 0.755 0.918 0.2  6.167 2.039
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_115100 20120410_115100 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   72417   38.88  -79.85     4.375       0.3     NA        1       1 0.459 0.82  0.2  7.8   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_115100 20120410_115100 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   72428   40     -82.88     0.375       0.5     NA        1       1 0.576 0.859 0.2  7.3   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_115400 20120410_115400 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   72445   38.82  -92.22     0           0.5     NA        0       1 0.617 0.872 0.2 10     1.304
