VERSION MODEL      DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL INDEX OBS_SID  OBS_LAT OBS_LON   OBS_LVL OBS_ELV FCST          OBS           OBS_QC OBS_CLIMO_MEAN OBS_CLIMO_STDEV OBS_CLIMO_CDF FCST_CLIMO_MEAN FCST_CLIMO_STDEV OBS_PRS    OBS_ERR_IN   OBS_ERR_ADJ   OBS_ERR_FIN   PREP_USE ANLY_USE SETUP_QC QC_WGHT
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      50      50  300.78748     302.14999         9             NA              NA            NA              NA               NA 1002            0.79428    0.79428       0.035503        101       -1        0 3.99484
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      50      50  300.7875      302.35001         9             NA              NA            NA              NA               NA 1001            0.79428    0.79428       0.038346        101       -1        0 3.9938
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      50      50  300.7875      302.35001         9             NA              NA            NA              NA               NA 1001            0.79428    0.79428       0.038346        101       -1        0 3.9938
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22        994     994  294.34404     294.75            9             NA              NA            NA              NA               NA  901            0.79422    0.79422       1e-10           101       -1        0 3.99697
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22        994     994  294.34404     294.75            9             NA              NA            NA              NA               NA  901            0.79422    0.79422       1e-10           101       -1        0 3.99697
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 q        NA         NA       q       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22        994     994    0.014943      0.014372        9             NA              NA            NA              NA               NA  901         2427.37354 2427.37354       0.020279        101       -1       NA 3.99902
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_045500 20121025_045500 q        NA         NA       q       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        628     628    0.015135      0.014657        9             NA              NA            NA              NA               NA  940.70001   2454.17065 2454.17065       0.0093025       101       -1       NA 3.99925
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_055500 20121025_055500 q        NA         NA       q       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        628     628    0.015135      0.014673        9             NA              NA            NA              NA               NA  939.70001   2454.1687  2454.1687        0.0094918       101       -1       NA 3.99928
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_065500 20121025_065500 q        NA         NA       q       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        628     628    0.015135      0.013781        9             NA              NA            NA              NA               NA  939.29999   2454.16797 2454.16797       0.0095698       101       -1       NA 3.90812
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 q        NA         NA       q       NA        NA      181    NA      NA          0           NA          NA         NA         NA    MPR           1     0    78720   14.05 -87.22        994     994    0.014943      0.014378        9             NA              NA            NA              NA               NA  900.59998   1678.30762 1678.30762     232.69301         101       -1       NA 3.99951
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 q        NA         NA       q       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      50      50    0.018875      0.016576        9             NA              NA            NA              NA               NA 1002         1925.0564  1925.0564        0.038598        101       -1       NA 1.48782
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 q        NA         NA       q       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      50      50    0.018875      0.017642        9             NA              NA            NA              NA               NA 1001         1925.06067 1925.06067       0.041845        101       -1       NA 3.99371
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 q        NA         NA       q       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      50      50    0.018875      0.017642        9             NA              NA            NA              NA               NA 1001         1925.06067 1925.06067       0.041845        101       -1       NA 3.99371
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 q        NA         NA       q       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22        994     994    0.014943      0.014372        9             NA              NA            NA              NA               NA  901         2427.37354 2427.37354       0.020279        101       -1       NA 3.99902
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 q        NA         NA       q       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22        994     994    0.014943      0.014372        9             NA              NA            NA              NA               NA  901         2427.37354 2427.37354       0.020279        101       -1       NA 3.99902
