VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL INDEX OBS_SID OBS_LAT OBS_LON   OBS_LVL OBS_ELV       FCST      OBS       OBS_QC OBS_CLIMO_MEAN OBS_CLIMO_STDEV OBS_CLIMO_CDF FCST_CLIMO_MEAN FCST_CLIMO_STDEV CHAN_USE SCAN_POS SAT_ZNTH SAT_AZMTH SUN_ZNTH  SUN_AZMTH SUN_GLNT FRAC_WTR  FRAC_LND   FRAC_ICE FRAC_SNW SFC_TWTR  SFC_TLND  SFC_TICE SFC_TSNW TSOIL     SOILM   LAND_TYPE FRAC_VEG SNW_DPTH SFC_WIND CLD_LWC   TC_PWAT     TFND      TWARM     TCOOL     TZFND     OBS_ERR  FCST_NOBC SFC_EMIS STABILITY   PRS_MAX_WGT
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_05    NA         NA       TB_05   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    244.52716 244.28999      0             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    2.33781  246.98382  0.92722  0.066816            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_06    NA         NA       TB_06   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    225.02846 225.35001      0             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    3.06704  227.45163  0.92662  0.070028            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_07    NA         NA       TB_07   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    212.2546  212.94         3             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    0        215.05956  0.92618  0.053516            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_08    NA         NA       TB_08   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    204.17486 204.42999      0             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    2.81156  206.60176  0.9258   0.02707             NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_09    NA         NA       TB_09   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    202.81456 203.31         0             NA              NA            NA              NA               NA       -1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    2.78248  204.83456  0.92447 -0.034008            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_10    NA         NA       TB_10   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    211.40718 212.57001      3             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    0        213.07014  0.92447 -0.047499            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_11    NA         NA       TB_11   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    222.52452 224.38         3             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    0        223.61783  0.92447 -0.035823            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_12    NA         NA       TB_12   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    227.94095 235.83         3             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    0        229.0476   0.92447 -0.0083404           NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_13    NA         NA       TB_13   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    229.51656 247.78         3             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    0        229.87856  0.92447 -0.00049375          NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_14    NA         NA       TB_14   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    231.04163 258.48999      3             NA              NA            NA              NA               NA       -1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    0        229.91963  0.92447 -8.7824e-06          NA
