VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR            FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH THRESH_1 OY_TP_1   ON_TP_1 CALIBRATION_1 REFINEMENT_1 LIKELIHOOD_1 BASER_1  THRESH_2 OY_TP_2   ON_TP_2   CALIBRATION_2 REFINEMENT_2 LIKELIHOOD_2 BASER_2  THRESH_3 OY_TP_3  ON_TP_3   CALIBRATION_3 REFINEMENT_3 LIKELIHOOD_3 BASER_3  THRESH_4 OY_TP_4 ON_TP_4   CALIBRATION_4 REFINEMENT_4 LIKELIHOOD_4 BASER_4  THRESH_5
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >1.5       NA         NA    PJC          35        5        0 0         0.91429      0             0.91429    NA        0            0.25 0         0.028571        0          0.028571     NA         0            0.5 0        0.057143        0          0.057143     NA         0           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >2.0       NA         NA    PJC          35        5        0 0         0.94286      0             0.94286    NA        0            0.25 0         0.028571        0          0.028571     NA         0            0.5 0        0.028571        0          0.028571     NA         0           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >0         NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >0.1       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >0.25      NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >0.5       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >1.0       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >1.5       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >2.0       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >0         NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >0.1       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >0.25      NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >0.5       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >1.0       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >1.5       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >2.0       NA         NA    PJC          64        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 NEAREST     1           ==0.25000   >0         NA         NA    PJC          79        5        0 0         0.94937      0             0.94937    NA        0            0.25 0         0.037975        0          0.037975     NA         0            0.5 0        0.012658        0          0.012658     NA         0           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 NEAREST     1           ==0.25000   >0.1       NA         NA    PJC          79        5        0 0         0.97468      0             0.97468    NA        0            0.25 0         0.025316        0          0.025316     NA         0            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 NEAREST     1           ==0.25000   >0.25      NA         NA    PJC          79        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 NEAREST     1           ==0.25000   >0.5       NA         NA    PJC          79        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 NEAREST     1           ==0.25000   >1.0       NA         NA    PJC          79        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 NEAREST     1           ==0.25000   >1.5       NA         NA    PJC          79        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 NEAREST     1           ==0.25000   >2.0       NA         NA    PJC          79        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >0         NA         NA    PJC          79        5        0 0         0.92405      0             0.92405    NA        0            0.25 0         0.075949        0          0.075949     NA         0            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >0.1       NA         NA    PJC          79        5        0 0         0.97468      0             0.97468    NA        0            0.25 0         0.025316        0          0.025316     NA         0            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >0.25      NA         NA    PJC          79        5        0 0         0.98734      0             0.98734    NA        0            0.25 0         0.012658        0          0.012658     NA         0            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >0.5       NA         NA    PJC          79        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >1.0       NA         NA    PJC          79        5        0 0         1            0             1          NA        0            0.25 0         0              NA          0            NA        NA            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
