VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR       OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     45545 274.92465  278.09204 76504.44169 75664.79607 77389.37457 5.52118
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     61807 278.81403  283.56023 79123.93464 77817.82732 80472.44565 5.2253
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  NEAREST        1           NA          NA         NA         NA    SL1L2     45845  -0.11507    1.91511     2.22238     4.36564    11.62311 2.61237
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  NEAREST        1           NA          NA         NA         NA    SL1L2     62094   1.64652    0.22776     1.2575     20.24233     6.26013 3.87107
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     45545  -0.11183    1.91363     2.1251      4.12293    11.63048 2.61231
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     61807   1.65812    0.22682     1.27909    20.12481     6.22124 3.85687
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     45545  -0.70952    1.91363     1.13623     4.88493    11.63048 2.99442
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     61807   1.24617    0.22682     1.0552     18.69034     6.22124 3.77168
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     45545   0.49137    1.91363     3.00038     4.30789    11.63048 2.39977
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     61807   2.07244    0.22682     1.49364    22.03092     6.22124 3.9781
